,level_0,level_1,correlation
75,Q48,Q48,1.0
76,Q48,Q49,0.846866997567414
77,Q48,Q50,0.8185255457959085
78,Q48,Q52,0.7736929624051991
79,Q48,Q85,0.3647010598554111
80,Q48,Q86,0.35817172764566657
81,Q48,Q87,0.36195745008249125
82,Q48,Q88,0.29510809307341734
83,Q48,Q89,0.21971944701203922
84,Q49,Q2,0.43025222904633553
85,Q49,Q3,0.3657689202203719
86,Q49,Q4,0.4092509556160645
87,Q49,Q6,0.4341651920451471
88,Q49,Q7,0.34274078740887604
89,Q49,Q48,0.846866997567414
90,Q49,Q49,1.0
91,Q49,Q50,0.8284712532339551
92,Q49,Q52,0.7760360767385118
93,Q49,Q85,0.33570255144034666
94,Q49,Q86,0.3321950687987405
95,Q49,Q87,0.34179198165164
96,Q49,Q88,0.2745967580930153
97,Q49,Q89,0.2102139344093392
98,Q50,Q2,0.44501228990230435
99,Q50,Q3,0.3908711598827064
100,Q50,Q4,0.42073107912893665
101,Q50,Q6,0.4635998416404582
102,Q50,Q7,0.34040289107511373
103,Q50,Q48,0.8185255457959085
104,Q50,Q49,0.8284712532339551
105,Q50,Q50,1.0
106,Q50,Q52,0.8419317211886369
107,Q50,Q85,0.37403125221023226
108,Q50,Q86,0.36452598008024034
109,Q50,Q87,0.3795335066255977
110,Q50,Q88,0.2978596675810087
111,Q50,Q89,0.20452808433896097
112,Q52,Q2,0.424475115918711
113,Q52,Q3,0.3695521608992057
114,Q52,Q4,0.40193149554468044
115,Q52,Q6,0.43779196198276205
116,Q52,Q7,0.3186464341623265
117,Q52,Q48,0.7736929624051991
118,Q52,Q49,0.7760360767385118
119,Q52,Q50,0.8419317211886369
120,Q52,Q52,1.0
121,Q52,Q85,0.34882817012178474
122,Q52,Q86,0.3383582212103735
123,Q52,Q87,0.3534384864918843
124,Q52,Q88,0.2697837239675568
125,Q52,Q89,0.17788488399110822
126,Q85,Q2,0.5467550272448481
127,Q85,Q3,0.7030249764772053
128,Q85,Q4,0.4236449437369945
129,Q85,Q6,0.5967697465706118
130,Q85,Q7,0.4652523861546223
131,Q85,Q48,0.3647010598554111
132,Q85,Q49,0.33570255144034666
133,Q85,Q50,0.37403125221023226
134,Q85,Q52,0.34882817012178474
135,Q85,Q85,1.0
136,Q85,Q86,0.8201598338985386
137,Q85,Q87,0.7408326186777873
138,Q85,Q88,0.6498591807930392
139,Q85,Q89,0.44553939313407326
140,Q86,Q2,0.5126628806942778
141,Q86,Q3,0.7470400203475042
142,Q86,Q4,0.4497331639411351
143,Q86,Q6,0.5886657086393193
144,Q86,Q7,0.4914600737414806
145,Q86,Q48,0.35817172764566657
146,Q86,Q49,0.3321950687987405
147,Q86,Q50,0.36452598008024034
148,Q86,Q52,0.3383582212103735
149,Q86,Q85,0.8201598338985386
150,Q86,Q86,1.0
151,Q86,Q87,0.7035569145078631
152,Q86,Q88,0.6520665085480489
153,Q86,Q89,0.46710856390688044
154,Q87,Q2,0.5206025155128226
155,Q87,Q3,0.6073940632735033
156,Q87,Q4,0.4097256137819813
157,Q87,Q6,0.5514464587390983
158,Q87,Q7,0.4569846830523527
159,Q87,Q48,0.36195745008249125
160,Q87,Q49,0.34179198165164
161,Q87,Q50,0.3795335066255977
162,Q87,Q52,0.3534384864918843
163,Q87,Q85,0.7408326186777873
164,Q87,Q86,0.7035569145078631
165,Q87,Q87,1.0
166,Q87,Q88,0.7026422833195917
167,Q87,Q89,0.4566069986425553
168,Q88,Q2,0.4430418157485843
169,Q88,Q3,0.5403938608489582
170,Q88,Q4,0.3680426380671725
171,Q88,Q6,0.44948999833872727
172,Q88,Q7,0.48616106963805295
173,Q88,Q48,0.29510809307341734
174,Q88,Q49,0.2745967580930153
175,Q88,Q50,0.2978596675810087
176,Q88,Q52,0.2697837239675568
177,Q88,Q85,0.6498591807930392
178,Q88,Q86,0.6520665085480489
179,Q88,Q87,0.7026422833195917
180,Q88,Q88,1.0
181,Q88,Q89,0.5778058510247813
182,Q89,Q2,0.2949700530404833
183,Q89,Q3,0.3804969697327941
184,Q89,Q4,0.24157621151672562
185,Q89,Q6,0.2707182237894265
186,Q89,Q7,0.3440405125033073
187,Q89,Q48,0.21971944701203922
188,Q89,Q49,0.2102139344093392
189,Q89,Q50,0.20452808433896097
190,Q89,Q52,0.17788488399110822
191,Q89,Q85,0.44553939313407326
192,Q89,Q86,0.46710856390688044
193,Q89,Q87,0.4566069986425553
194,Q89,Q88,0.5778058510247813
195,Q89,Q89,1.0
